"trait"	"comp"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"mean_abu1"	"mean_abu2"	"log_fold_diff"	"q"	"status"
"ko:K19431"	"human"	0.715800561227499	0.436472714964493	1.63996634081865	0.102883261486062	38410.1203567872	77059.2972855975	0.696241186741875	1	"other"
"ko:K19431"	"hdi_diff"	0.8701969776854	0.478644529844678	1.8180443385988	0.0708386611996547	51223.8720375828	89438.7718836046	0.557340262831533	1	"other"
"ko:K19449"	"human"	0.591187470994386	0.121721763062943	4.85687568203132	2.71431878758036e-06	70057.282851634	160159.918781408	0.826851544411279	0.0344175622265189	"Human"
"ko:K19449"	"hdi_diff"	0.424093484652284	0.13348246993599	3.17714741760214	0.00177031126653502	127168.056145547	175968.519627758	0.324793444091659	1	"Human"
"ko:K19465"	"human"	-0.757039538799306	0.204605057519257	-3.70000403693861	0.000291856138393125	70898.6544227468	74165.5294142051	0.045047402965539	1	"other"
"ko:K19465"	"hdi_diff"	0.565979390200593	0.224373914342194	2.52248302508738	0.0125825187074623	63742.3519728965	79159.9686048321	0.2166184608757	1	"other"
"ko:K19504"	"human"	1.73935684064317	0.238187079823202	7.30248190596332	1.0794202925871e-11	8338.97761831514	71810.8647948749	2.15298917752995	1.36870493100044e-07	"Human"
"ko:K19504"	"hdi_diff"	0.962199924803165	0.261200617881298	3.6837582261786	0.000309613321769067	35120.6480426106	89391.5936553349	0.934220140020638	1	"Human"
"ko:K19505"	"human"	-0.629661869301083	0.126354124780607	-4.98331075771675	1.54361876282631e-06	50988.2435451858	83566.097111018	0.494035167791751	0.0195730859126376	"NHA"
"ko:K19505"	"hdi_diff"	1.31551442499741	0.138562408544757	9.49402106107648	2.20349543857959e-17	32109.2897014327	108222.483994778	1.21502185511084	2.79403221611893e-13	"NHA"
"ko:K19506"	"human"	-0.737279558056323	0.185780470354717	-3.9685525429482	0.000106948675265358	82213.8533474761	99757.8542267896	0.19341983261287	1	"Human_EUR"
"ko:K19506"	"hdi_diff"	1.22340585000138	0.203730503278974	6.0050205065568	1.14837944181878e-08	44180.5624328984	126388.639878029	1.05106195283376	0.000145614513222621	"Human_EUR"
"ko:K19507"	"human"	-0.242141584625777	0.217444982959133	-1.11357632321774	0.267051691648074	41445.6931571399	59029.9474366264	0.353653739891715	1	"other"
"ko:K19507"	"hdi_diff"	0.973190592866316	0.238454428117059	4.08124353383184	6.91185901346434e-05	33385.8544254593	71317.7420044773	0.75899691165754	0.876423722907278	"other"
"ko:K19508"	"human"	0.665823406038702	0.309222675597954	2.15321662536933	0.0327278500301605	16478.7173829615	39285.7971572424	0.868758136991776	1	"other"
"ko:K19508"	"hdi_diff"	0.676695936373741	0.339099643813787	1.99556663865251	0.0475973190599343	23201.1076862924	46993.0441954059	0.705777751340943	1	"other"
"ko:K19509"	"human"	-0.143628775647275	0.178706248146847	-0.803714347632947	0.422697697716906	59136.9452298898	113661.779340323	0.653363219026104	1	"Human_EUR"
"ko:K19509"	"hdi_diff"	1.10158842127521	0.195972772619962	5.62112994855391	7.74908579526668e-08	52872.754869643	142789.853565857	0.993473908670387	0.000982584078839816	"Human_EUR"
"ko:K19510"	"human"	0.924733234465967	0.163132212840095	5.66861209301687	6.14514644057055e-08	29168.0349578512	114219.481997368	1.3650229331773	0.000779204568664346	"Human"
"ko:K19510"	"hdi_diff"	0.840970670410119	0.178893980403154	4.70094448407327	5.37036322933232e-06	62833.8776470947	138841.750748541	0.792831707305	0.0680962057479339	"Human"
"ko:K19515"	"human"	4.77076815891159	0.703915419807912	6.77747357802371	1.97819380748958e-10	2115.87245508032	32631.4056411478	2.73536609033276	2.50834974789679e-06	"Human"
"ko:K19515"	"hdi_diff"	1.03132339662738	0.77192743924849	1.33603671043411	0.183344205820977	16721.1231406062	40255.0826726573	0.878528533060107	1	"Human"
"ko:K19517"	"human"	1.12428650537775	0.564653188642091	1.99110981393995	0.0480898996794001	9968.86347825952	21219.5700080146	0.755404104028034	1	"other"
"ko:K19517"	"hdi_diff"	1.27393934709906	0.619209748368528	2.05736319632498	0.0411967443567815	10761.1550014812	26230.8938653119	0.89094017990499	1	"other"
"ko:K19519"	"human"	-1.0132735081324	0.467800629571857	-2.16603707664903	0.0317179170336938	62965.1778577363	25645.400974718	-0.898194473934401	1	"other"
"ko:K19519"	"hdi_diff"	0.538212428256666	0.512999334725152	1.049148394208	0.295616748107145	23024.9238718049	26901.0462531971	0.155581646544883	1	"other"
"ko:K19540"	"human"	1.52744312885175	0.450180122859152	3.3929599537864	0.000862357850313625	4592.14187840251	16468.2965119275	1.27693353497173	1	"other"
"ko:K19540"	"hdi_diff"	0.313739907741521	0.493676341873666	0.63551740508928	0.525955722963259	12502.3963430836	18368.6236761652	0.384698098384981	1	"other"
"ko:K19545"	"human"	1.97087512141561	0.236972981173946	8.3168769353031	2.95870472611429e-14	25713.3390569155	217163.482298252	2.13360627308938	3.75163759271291e-10	"Human"
"ko:K19545"	"hdi_diff"	0.89675491543723	0.259869213518014	3.45079320207766	0.000706946264320241	126018.215323836	260837.256056827	0.727466108735156	1	"Human"
"ko:K19547"	"human"	-1.1897031179453	0.136576573946982	-8.71088711309404	2.75376037309973e-15	131641.717396415	116415.384405555	-0.12291828160711	3.49176815309045e-11	"NHA"
"ko:K19547"	"hdi_diff"	1.30068581038463	0.149772546561056	8.68440739140663	3.2342435215699e-15	50267.361243607	148111.312170655	1.08059497390846	4.10102078535063e-11	"NHA"
"ko:K19548"	"human"	-1.00893659588818	0.312751531889436	-3.22600049244478	0.00150899287295961	37551.5928424938	28003.8896119243	-0.293363302298945	1	"other"
